Time: 1389, Behaviour: 2, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 12, 
Time: 5248, Behaviour: 1, Fault: 1, 100, 1 , CLASSIFIED ,
Total Faults, 24, Elligible Total, 20, DiagTot, 10, Elligible DiagTot, 6, FailTot, 0, MemoryTot, 14, %Memory,0.7, %Failure,0
Time: 611, Behaviour: 2, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 12, 
Time: 1223, Behaviour: 2, Fault: 3, n/a, 3 , DIAGNOSED ,Time Taken, 13, 
Time: 1836, Behaviour: 2, Fault: 3, 94.7065, 3 , CLASSIFIED ,
Time: 3087, Behaviour: 2, Fault: 4, n/a, 4 , DIAGNOSED ,Time Taken, 116, 
Time: 3803, Behaviour: 2, Fault: 3, 86.704, 3 , CLASSIFIED ,
Time: 5135, Behaviour: 1, Fault: 6, 90.2077, 3 , CLASSIFIED ,
Time: 5919, Behaviour: 1, Fault: 4, n/a, 4 , DIAGNOSED ,Time Taken, 169, ELLIGIBLE
Time: 6897, Behaviour: 1, Fault: 6, 90.0151, 3 , CLASSIFIED ,
Time: 7499, Behaviour: 1, Fault: 2, n/a, 2 , DIAGNOSED ,Time Taken, 11, 
Time: 8110, Behaviour: 1, Fault: 2, 100, 2 , CLASSIFIED ,
Time: 8714, Behaviour: 1, Fault: 5, n/a, 5 , DIAGNOSED ,Time Taken, 184, 
Time: 9725, Behaviour: 1, Fault: 6, 99.486, 3 , CLASSIFIED ,
Time: 10327, Behaviour: 1, Fault: 2, 100, 100, 2 , CLASSIFIED ,
Time: 11189, Behaviour: 1, Fault: 1, 68.0749, 1 , CLASSIFIED ,
Time: 12061, Behaviour: 1, Fault: 6, 78.5859, 3 , CLASSIFIED ,
Time: 12759, Behaviour: 1, Fault: 4, 99.3339, 5 , CLASSIFIED ,
Time: 13362, Behaviour: 1, Fault: 5, 99.8335, 5 , CLASSIFIED ,
Time: 14504, Behaviour: 1, Fault: 6, 97.2988, 3 , CLASSIFIED ,
Time: 16834, Behaviour: 3, Fault: 6, 97.6395, 3 , CLASSIFIED ,
Time: 17568, Behaviour: 3, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 12, ELLIGIBLE
Time: 18379, Behaviour: 3, Fault: 6, 95.9353, 3 , CLASSIFIED ,
Time: 19746, Behaviour: 3, Fault: 1, 68.0749, 1 , CLASSIFIED ,
Time: 20728, Behaviour: 3, Fault: 4, n/a, 4 , DIAGNOSED ,Time Taken, 129, ELLIGIBLE
Time: 21458, Behaviour: 3, Fault: 6, 97.8065, 3 , CLASSIFIED ,
Time: 22060, Behaviour: 3, Fault: 2, 97.3688, 97.3688, 97.3688, 2 , CLASSIFIED ,
Time: 22662, Behaviour: 3, Fault: 2, 82.6011, 82.6011, 82.6011, 2 , CLASSIFIED ,
Time: 24224, Behaviour: 3, Fault: 4, 94.5977, 4 , CLASSIFIED ,
Time: 25385, Behaviour: 1, Fault: 1, 99.5565, 1 , CLASSIFIED ,
Time: 25989, Behaviour: 1, Fault: 4, 100, 5 , CLASSIFIED ,
Time: 26703, Behaviour: 1, Fault: 6, n/a, 3 , DIAGNOSED ,Time Taken, 316, ELLIGIBLE
Time: 27709, Behaviour: 1, Fault: 4, 99.8335, 99.8335, 5 , CLASSIFIED ,
Time: 28310, Behaviour: 1, Fault: 2, 96.8471, 2 , CLASSIFIED ,
Time: 28914, Behaviour: 1, Fault: 4, 83.8096, 4 , CLASSIFIED ,
Time: 29568, Behaviour: 1, Fault: 4, n/a, 4 , DIAGNOSED ,Time Taken, 116, ELLIGIBLE
Time: 31537, Behaviour: 2, Fault: 1, 99.5565, 99.5565, 1 , CLASSIFIED ,
Time: 33347, Behaviour: 2, Fault: 4, 87.2992, 4 , CLASSIFIED ,
Time: 33948, Behaviour: 2, Fault: 2, 83.8669, 2 , CLASSIFIED ,
Time: 34550, Behaviour: 2, Fault: 2, 96.034, 2 , CLASSIFIED ,
Time: 35153, Behaviour: 3, Fault: 6, 84.7548, 3 , CLASSIFIED ,
Total Faults, 39, Elligible Total, 34, DiagTot, 10, Elligible DiagTot, 5, FailTot, 0, MemoryTot, 29, %Memory,0.852941, %Failure,0
Time: 30639, Behaviour: 2, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 13, 
Time: 31252, Behaviour: 2, Fault: 3, n/a, 3 , DIAGNOSED ,Time Taken, 13, 
Time: 31865, Behaviour: 2, Fault: 2, n/a, 2 , DIAGNOSED ,Time Taken, 11, 
Time: 32909, Behaviour: 2, Fault: 6, n/a, 3 , DIAGNOSED ,Time Taken, 13, 
Time: 33528, Behaviour: 2, Fault: 6, 85.3705, 3 , CLASSIFIED ,
Time: 34147, Behaviour: 2, Fault: 6, 85.6325, 3 , CLASSIFIED ,
Time: 34749, Behaviour: 2, Fault: 3, 83.9348, 3 , CLASSIFIED ,
Time: 35352, Behaviour: 3, Fault: 3, 87.1159, 3 , CLASSIFIED ,
Time: 35954, Behaviour: 3, Fault: 3, 89.0189, 3 , CLASSIFIED ,
Total Faults, 9, Elligible Total, 5, DiagTot, 4, Elligible DiagTot, 0, FailTot, 0, MemoryTot, 5, %Memory,1, %Failure,0
Time: 1417, Behaviour: 2, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 12, 
Time: 2029, Behaviour: 2, Fault: 3, n/a, 3 , DIAGNOSED ,Time Taken, 66, 
Time: 5444, Behaviour: 1, Fault: 4, n/a, 4 , DIAGNOSED ,Time Taken, 116, 
Time: 6812, Behaviour: 1, Fault: 4, 99.8335, 4 , CLASSIFIED ,
Time: 7647, Behaviour: 1, Fault: 5, 97.5034, 4 , CLASSIFIED ,
Time: 8789, Behaviour: 1, Fault: 5, 99.6672, 4 , CLASSIFIED ,
Time: 9390, Behaviour: 1, Fault: 6, DECENTRALISED, n/a, 3 , DIAGNOSED ,Time Taken, 276, 
Time: 10323, Behaviour: 1, Fault: 4, n/a, 4 , DIAGNOSED ,Time Taken, 101, ELLIGIBLE
Time: 11275, Behaviour: 1, Fault: 2, n/a, 2 , DIAGNOSED ,Time Taken, 15, 
Time: 11890, Behaviour: 1, Fault: 2, 77.9995, 2 , CLASSIFIED ,
Time: 12492, Behaviour: 1, Fault: 2, 89.2428, 2 , CLASSIFIED ,
Time: 13094, Behaviour: 1, Fault: 2, 93.5146, 2 , CLASSIFIED ,
Time: 13821, Behaviour: 1, Fault: 4, 99.8335, 4 , CLASSIFIED ,
Time: 14674, Behaviour: 1, Fault: 5, 99.5012, 4 , CLASSIFIED ,
Time: 15672, Behaviour: 3, Fault: 6, 81.8723, 3 , CLASSIFIED ,
Time: 16687, Behaviour: 3, Fault: 4, 71.7938, 4 , CLASSIFIED ,
Time: 17288, Behaviour: 3, Fault: 2, 85.0933, 2 , CLASSIFIED ,
Time: 17890, Behaviour: 3, Fault: 3, 99.6583, 3 , CLASSIFIED ,
Time: 18850, Behaviour: 3, Fault: 4, 85.5589, 4 , CLASSIFIED ,
Time: 19744, Behaviour: 3, Fault: 6, 97.8034, 3 , CLASSIFIED ,
Time: 20539, Behaviour: 3, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 23, ELLIGIBLE
Time: 21162, Behaviour: 3, Fault: 2, 92.2927, 2 , CLASSIFIED ,
Time: 21903, Behaviour: 3, Fault: 4, 94.1675, 4 , CLASSIFIED ,
Time: 22504, Behaviour: 3, Fault: 2, 93.2854, 2 , CLASSIFIED ,
Time: 23106, Behaviour: 3, Fault: 3, 92.2292, 3 , CLASSIFIED ,
Time: 23710, Behaviour: 3, Fault: 4, 91.798, 4 , CLASSIFIED ,
Time: 24313, Behaviour: 3, Fault: 4, 85.5589, 4 , CLASSIFIED ,
Time: 24915, Behaviour: 3, Fault: 2, 93.5079, 2 , CLASSIFIED ,
Time: 25518, Behaviour: 1, Fault: 6, 98.6361, 3 , CLASSIFIED ,
Time: 26121, Behaviour: 1, Fault: 3, 98.4775, 3 , CLASSIFIED ,
Time: 26781, Behaviour: 1, Fault: 4, 99.1679, 4 , CLASSIFIED ,
Time: 27453, Behaviour: 1, Fault: 4, 100, 4 , CLASSIFIED ,
Time: 28091, Behaviour: 1, Fault: 4, 99.1668, 4 , CLASSIFIED ,
Time: 28692, Behaviour: 1, Fault: 6, 71.0634, 3 , CLASSIFIED ,
Time: 29360, Behaviour: 1, Fault: 5, 96.1668, 4 , CLASSIFIED ,
Total Faults, 35, Elligible Total, 30, DiagTot, 7, Elligible DiagTot, 2, FailTot, 0, MemoryTot, 28, %Memory,0.933333, %Failure,0
Time: 5612, Behaviour: 1, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 12, 
Time: 7013, Behaviour: 1, Fault: 6, n/a, 6 , DIAGNOSED ,Time Taken, 239, 
Time: 7937, Behaviour: 1, Fault: 6, 76.5077, 6 , CLASSIFIED ,
Time: 8564, Behaviour: 1, Fault: 5, n/a, 5 , DIAGNOSED ,Time Taken, 165, 
Time: 9463, Behaviour: 1, Fault: 5, 90.0886, 5 , CLASSIFIED ,
Time: 10167, Behaviour: 1, Fault: 4, 98.0087, 5 , CLASSIFIED ,
Time: 10768, Behaviour: 1, Fault: 3, 92.8086, 6 , CLASSIFIED ,
Time: 11370, Behaviour: 1, Fault: 2, n/a, 2 , DIAGNOSED ,Time Taken, 11, 
Time: 12056, Behaviour: 1, Fault: 4, 100, 5 , CLASSIFIED ,
Time: 12658, Behaviour: 1, Fault: 2, 85.1166, 2 , CLASSIFIED ,
Time: 13262, Behaviour: 1, Fault: 5, 99.5012, 99.5012, 5 , CLASSIFIED ,
Time: 14520, Behaviour: 1, Fault: 5, 99.8335, 99.8335, 5 , CLASSIFIED ,
Time: 15121, Behaviour: 3, Fault: 6, 100, 6 , CLASSIFIED ,
Time: 15988, Behaviour: 3, Fault: 4, n/a, 4 , DIAGNOSED ,Time Taken, 116, ELLIGIBLE
Time: 16767, Behaviour: 3, Fault: 6, n/a, 3 , DIAGNOSED ,Time Taken, 13, ELLIGIBLE
Time: 17380, Behaviour: 3, Fault: 3, 76.7622, 76.7622, 6 , CLASSIFIED ,
Time: 17983, Behaviour: 3, Fault: 2, 91.3518, 2 , CLASSIFIED ,
Time: 18838, Behaviour: 3, Fault: 1, 86.9819, 1 , CLASSIFIED ,
Time: 19440, Behaviour: 3, Fault: 2, 84.6378, 2 , CLASSIFIED ,
Time: 20044, Behaviour: 3, Fault: 4, 92.1585, 4 , CLASSIFIED ,
Time: 20645, Behaviour: 3, Fault: 3, 90.3341, 6 , CLASSIFIED ,
Time: 21247, Behaviour: 3, Fault: 3, 86.4476, 6 , CLASSIFIED ,
Time: 21849, Behaviour: 3, Fault: 6, 83.0335, 6 , CLASSIFIED ,
Time: 23475, Behaviour: 3, Fault: 2, 93.2573, 2 , CLASSIFIED ,
Time: 25352, Behaviour: 1, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 12, ELLIGIBLE
Time: 26044, Behaviour: 1, Fault: 6, 98.9784, 6 , CLASSIFIED ,
Time: 27369, Behaviour: 1, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 12, ELLIGIBLE
Time: 27984, Behaviour: 1, Fault: 6, 84.458, 6 , CLASSIFIED ,
Time: 28813, Behaviour: 1, Fault: 5, 99.6667, 5 , CLASSIFIED ,
Time: 29415, Behaviour: 1, Fault: 6, 100, 6 , CLASSIFIED ,
Time: 30231, Behaviour: 2, Fault: 6, 88.0712, 6 , CLASSIFIED ,
Time: 31090, Behaviour: 2, Fault: 1, 99.7783, 1 , CLASSIFIED ,
Time: 31940, Behaviour: 2, Fault: 1, 100, 1 , CLASSIFIED ,
Time: 32742, Behaviour: 2, Fault: 4, 97.8444, 4 , CLASSIFIED ,
Time: 34534, Behaviour: 2, Fault: 4, 96.6714, 4 , CLASSIFIED ,
Time: 35297, Behaviour: 3, Fault: 1, 100, 100, 1 , CLASSIFIED ,
Time: 35899, Behaviour: 3, Fault: 2, 92.1446, 2 , CLASSIFIED ,
Total Faults, 37, Elligible Total, 33, DiagTot, 8, Elligible DiagTot, 4, FailTot, 0, MemoryTot, 29, %Memory,0.878788, %Failure,0
Time: 1895, Behaviour: 2, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 17, 
Time: 3872, Behaviour: 2, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 12, ELLIGIBLE
Time: 5414, Behaviour: 1, Fault: 1, 99.7783, 1 , CLASSIFIED ,
Time: 6016, Behaviour: 1, Fault: 3, n/a, 3 , DIAGNOSED ,Time Taken, 13, 
Time: 6759, Behaviour: 1, Fault: 2, n/a, 2 , DIAGNOSED ,Time Taken, 11, 
Time: 7372, Behaviour: 1, Fault: 4, n/a, 4 , DIAGNOSED ,Time Taken, 116, 
Time: 8090, Behaviour: 1, Fault: 4, 99.6667, 4 , CLASSIFIED ,
Time: 8878, Behaviour: 1, Fault: 5, 99.6667, 99.6667, 4 , CLASSIFIED ,
Time: 9965, Behaviour: 1, Fault: 5, 95.5064, 95.5064, 95.5064, 4 , CLASSIFIED ,
Time: 10663, Behaviour: 1, Fault: 3, 100, 3 , CLASSIFIED ,
Time: 11719, Behaviour: 1, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 12, ELLIGIBLE
Time: 13135, Behaviour: 1, Fault: 3, 68.313, 68.313, 3 , CLASSIFIED ,
Time: 14132, Behaviour: 1, Fault: 4, n/a, 4 , DIAGNOSED ,Time Taken, 117, ELLIGIBLE
Time: 14849, Behaviour: 1, Fault: 6, n/a, 3 , DIAGNOSED ,Time Taken, 25, 
Time: 15813, Behaviour: 3, Fault: 6, 68.9371, 3 , CLASSIFIED ,
Time: 17594, Behaviour: 3, Fault: 4, 98.5184, 4 , CLASSIFIED ,
Time: 18231, Behaviour: 3, Fault: 4, 80.9981, 4 , CLASSIFIED ,
Time: 19386, Behaviour: 3, Fault: 6, 67.7699, 3 , CLASSIFIED ,
Time: 20013, Behaviour: 3, Fault: 3, 94.6841, 94.6841, 3 , CLASSIFIED ,
Time: 20615, Behaviour: 3, Fault: 3, 94.3638, 94.3638, 3 , CLASSIFIED ,
Time: 21219, Behaviour: 3, Fault: 4, 87.6641, 4 , CLASSIFIED ,
Time: 21820, Behaviour: 3, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 12, ELLIGIBLE
Time: 22656, Behaviour: 3, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 21, ELLIGIBLE
Time: 23277, Behaviour: 3, Fault: 6, 99.486, 3 , CLASSIFIED ,
Time: 24251, Behaviour: 3, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 12, ELLIGIBLE
Time: 25094, Behaviour: 1, Fault: 4, 96.1774, 4 , CLASSIFIED ,
Time: 25784, Behaviour: 1, Fault: 2, n/a, 2 , DIAGNOSED ,Time Taken, 11, ELLIGIBLE
Time: 26529, Behaviour: 1, Fault: 6, 100, 3 , CLASSIFIED ,
Time: 27327, Behaviour: 1, Fault: 2, 100, 2 , CLASSIFIED ,
Time: 27929, Behaviour: 1, Fault: 3, 100, 3 , CLASSIFIED ,
Time: 28697, Behaviour: 1, Fault: 6, 73.0763, 3 , CLASSIFIED ,
Time: 29885, Behaviour: 1, Fault: 6, 95.7833, 3 , CLASSIFIED ,
Time: 30587, Behaviour: 2, Fault: 4, 89.5861, 4 , CLASSIFIED ,
Time: 31203, Behaviour: 2, Fault: 3, 100, 3 , CLASSIFIED ,
Time: 31805, Behaviour: 2, Fault: 3, 87.7665, 3 , CLASSIFIED ,
Time: 32407, Behaviour: 2, Fault: 3, 91.644, 3 , CLASSIFIED ,
Time: 33084, Behaviour: 2, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 12, ELLIGIBLE
Time: 33729, Behaviour: 2, Fault: 6, 80.7318, 3 , CLASSIFIED ,
Time: 34331, Behaviour: 2, Fault: 3, 94.6294, 3 , CLASSIFIED ,
Total Faults, 39, Elligible Total, 34, DiagTot, 13, Elligible DiagTot, 8, FailTot, 0, MemoryTot, 26, %Memory,0.764706, %Failure,0
Time: 929, Behaviour: 2, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 12, 
Time: 1541, Behaviour: 2, Fault: 6, n/a, 3 , DIAGNOSED ,Time Taken, 13, 
Time: 2154, Behaviour: 2, Fault: 2, n/a, 2 , DIAGNOSED ,Time Taken, 11, 
Time: 3442, Behaviour: 2, Fault: 6, 96.7745, 3 , CLASSIFIED ,
Time: 5329, Behaviour: 1, Fault: 6, 98.4673, 3 , CLASSIFIED ,
Time: 26312, Behaviour: 1, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 12, ELLIGIBLE
Time: 26926, Behaviour: 1, Fault: 4, n/a, 4 , DIAGNOSED ,Time Taken, 117, 
Time: 27686, Behaviour: 1, Fault: 6, 78.8017, 3 , CLASSIFIED ,
Time: 28290, Behaviour: 1, Fault: 4, 98.6716, 4 , CLASSIFIED ,
Time: 29286, Behaviour: 1, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 12, ELLIGIBLE
Total Faults, 10, Elligible Total, 6, DiagTot, 6, Elligible DiagTot, 2, FailTot, 0, MemoryTot, 4, %Memory,0.666667, %Failure,0
Time: 26135, Behaviour: 1, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 12, 
Time: 26801, Behaviour: 1, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 13, ELLIGIBLE
Time: 27827, Behaviour: 1, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 12, ELLIGIBLE
Time: 28439, Behaviour: 1, Fault: 3, n/a, 3 , DIAGNOSED ,Time Taken, 13, 
Time: 29054, Behaviour: 1, Fault: 5, n/a, 5 , DIAGNOSED ,Time Taken, 165, 
Time: 30664, Behaviour: 2, Fault: 1, 92.2008, 1 , CLASSIFIED ,
Time: 31297, Behaviour: 2, Fault: 3, 87.2939, 3 , CLASSIFIED ,
Time: 31899, Behaviour: 2, Fault: 2, n/a, 2 , DIAGNOSED ,Time Taken, 11, 
Time: 32510, Behaviour: 2, Fault: 3, 92.4916, 3 , CLASSIFIED ,
Time: 33307, Behaviour: 2, Fault: 6, 81.2857, 3 , CLASSIFIED ,
Time: 33909, Behaviour: 2, Fault: 2, 76.9685, 2 , CLASSIFIED ,
Time: 34511, Behaviour: 2, Fault: 3, 94.5468, 3 , CLASSIFIED ,
Time: 35113, Behaviour: 3, Fault: 3, 80.6437, 3 , CLASSIFIED ,
Total Faults, 13, Elligible Total, 9, DiagTot, 6, Elligible DiagTot, 2, FailTot, 0, MemoryTot, 7, %Memory,0.777778, %Failure,0
Time: 6487, Behaviour: 1, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 53, 
Time: 7140, Behaviour: 1, Fault: 6, n/a, 3 , DIAGNOSED ,Time Taken, 14, 
Time: 7754, Behaviour: 1, Fault: 3, 73.3823, 3 , CLASSIFIED ,
Time: 12442, Behaviour: 1, Fault: 1, 99.116, 1 , CLASSIFIED ,
Time: 13142, Behaviour: 1, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 47, ELLIGIBLE
Time: 13791, Behaviour: 1, Fault: 5, n/a, 5 , DIAGNOSED ,Time Taken, 213, 
Time: 14902, Behaviour: 1, Fault: 1, 83.5052, 1 , CLASSIFIED ,
Time: 15504, Behaviour: 3, Fault: 3, 85.7412, 3 , CLASSIFIED ,
Time: 16437, Behaviour: 3, Fault: 4, n/a, 4 , DIAGNOSED ,Time Taken, 205, 
Time: 17727, Behaviour: 3, Fault: 4, 69.7055, 4 , CLASSIFIED ,
Time: 19193, Behaviour: 3, Fault: 6, 76.3077, 3 , CLASSIFIED ,
Time: 20234, Behaviour: 3, Fault: 4, 84.9867, 4 , CLASSIFIED ,
Time: 25694, Behaviour: 1, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 12, ELLIGIBLE
Time: 26306, Behaviour: 1, Fault: 3, 100, 3 , CLASSIFIED ,
Time: 26908, Behaviour: 1, Fault: 3, 88.1401, 88.1401, 3 , CLASSIFIED ,
Time: 27511, Behaviour: 1, Fault: 3, 80.7318, 3 , CLASSIFIED ,
Time: 28116, Behaviour: 1, Fault: 4, 99.8335, 5 , CLASSIFIED ,
Time: 28719, Behaviour: 1, Fault: 4, 99.8335, 5 , CLASSIFIED ,
Time: 29500, Behaviour: 1, Fault: 4, 99.8335, 5 , CLASSIFIED ,
Time: 30101, Behaviour: 2, Fault: 3, 92.0025, 92.0025, 3 , CLASSIFIED ,
Time: 32720, Behaviour: 2, Fault: 4, 99.438, 4 , CLASSIFIED ,
Time: 33321, Behaviour: 2, Fault: 2, n/a, 2 , DIAGNOSED ,Time Taken, 11, 
Time: 33934, Behaviour: 2, Fault: 4, 100, 4 , CLASSIFIED ,
Time: 34535, Behaviour: 2, Fault: 3, 86.6135, 3 , CLASSIFIED ,
Total Faults, 24, Elligible Total, 19, DiagTot, 7, Elligible DiagTot, 2, FailTot, 0, MemoryTot, 17, %Memory,0.894737, %Failure,0
Time: 5446, Behaviour: 1, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 13, 
Time: 6555, Behaviour: 1, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 50, ELLIGIBLE
Time: 7207, Behaviour: 1, Fault: 5, n/a, 5 , DIAGNOSED ,Time Taken, 166, 
Time: 8464, Behaviour: 1, Fault: 5, 99.5001, 5 , CLASSIFIED ,
Time: 9634, Behaviour: 1, Fault: 6, n/a, 3 , DIAGNOSED ,Time Taken, 13, 
Time: 10526, Behaviour: 1, Fault: 6, n/a, 3 , DIAGNOSED ,Time Taken, 13, ELLIGIBLE
Time: 11660, Behaviour: 1, Fault: 5, 99.3333, 5 , CLASSIFIED ,
Time: 12261, Behaviour: 1, Fault: 2, n/a, 2 , DIAGNOSED ,Time Taken, 12, 
Time: 12923, Behaviour: 1, Fault: 3, 94.4577, 3 , CLASSIFIED ,
Time: 13728, Behaviour: 1, Fault: 1, 70.9884, FAILURE 3, n/a, 1 , DIAGNOSED ,Time Taken, 12, ELLIGIBLE
Time: 14465, Behaviour: 1, Fault: 4, 99.8335, 5 , CLASSIFIED ,
Time: 25183, Behaviour: 1, Fault: 5, 96.3985, 5 , CLASSIFIED ,
